ambnumber,year,country,failure,failure_event,distressed,internationalcompanytype,profitorlossbeforetax,profitorlossaftertax,rop,roa,roe,roebeforetax,roabeforetax,movingaverageofroa,movingaverageofrop,movingaverageofroe,movingaverageofroabeforetax,movingaverageofroebeforetax,riskedadjustedroa,riskedadjustedroe,riskedadjustedroabeforetax,riskedadjustedroebeforetax,movingstandarddeviationofroa,movingstandarddeviationofrop,movingstandarddeviationofroe,movingstandarddeviationofroabefo,movingstandarddeviationofroebefo,changeinasset,changeinnetpremium,changeingrosspremium,liquidassets,liquidassetsnettechnicalreserves,liquidassetstotalliabilities,capitalsurplus,netpremiumswrittencapitalsurplus,nettechnicalreservescapitalsurpl,grosspremiumswrittencapitalsurpl,grosstechnicalreservescapitalsur,totaldebtorscapitalsurplus,capitalsurplustotalassets,leverageratio,totaldebtorstotalassets,premiumretainratio,nettechnicalreservesgrosstechnic,totalinvestments,investmentasset,totalinvestmenttotalliabilities,grosspremiumswritten,netpremiumswritten,totalassets,totalliabilities,totaldebtors,grosstechnicalreserves,nettechnicalreserves,numberofemployees,numberoflinesofbusiness,numberofpremiumregions,mutual,composite,life,affiliated,expenseratio,benefitspaidnetpremiumswritten,combinedratiolife,benefitspaid,netexpenseslife,lossratio,operatingexpenseratio,combinedratio,operatingratio,netexpenses,netinvestmentincome
84949,2006,austria,0,,0,Life,1669.5098,1357.2777,.059,.0040000002,.054000001,.065800354,.0049495888,.0047499998,.054000001,.064999998,.0065805111,.091706201,424.05322,165.86119,266.43335,133.55859,.00095742702,.014000001,.017068489,.001741335,.026436338,-.017059514,-.060861737,-.054525107,316215.41,1.034,1.0140001,25372.354,.90003675,12.05726,.98562771,12.05726,.38552904,.075221315,12.294105,.029000001,.91316098,1,325147.81,.96396434,1.0419999,25007.695,22836.051,337302.72,311930.38,9781.7793,305921.06,305921.06,98.342789,2,0,0,0,1,0,.22600001,1.262,1.4879999,28819.096,5651.7393,,,,,,
84949,2012,austria,0,,0,Life,1973.8175,1163.5277,.12125895,.0051000002,.044470001,.073898338,.0090075126,.0048019998,.097051792,.04865,.0065070102,.063117892,273.84387,155.12866,217.29874,167.13405,.001486614,.025963841,.018187935,.0021537519,.021174012,-.099408828,-.11213828,-.10627861,211098.7,1.12788,1.09707,26709.904,.35924,7.0072699,.42738882,7.0078201,.071070001,.12189059,7.2040801,.0086599998,.84055752,.99992073,215320.03,.98261249,1.11901,11415.515,9595.3965,219130.14,192420.25,1898.3163,187178.3,187163.47,62.73674,1,0,0,0,1,0,.39623001,1.27455,1.6707799,12229.813,4523.1694,3.5830593,.34705633,3.9301157,,3330.1428,
83880,2011,austria,0,,0,Life,19973.822,14998.644,.059097454,.0089499997,.36241999,.46763864,.012078818,.0084985811,.05165932,.35659507,.0098760556,.40490484,238.63461,44.350014,162.78932,37.306252,.001722089,.014713352,.070787355,.0028937941,.105415,-.056344256,-.06349948,-.063413955,1622969.9,1.02482,1.00749,42712.086,5.9419999,37.077648,5.9707451,37.084309,.55122,.025829386,37.715591,.01424,.9951852,.99982047,1622969.9,.9814626,1.00749,255022.98,253795.09,1653623.9,1610911.8,23543.77,1583948.4,1583664,661.41919,1,0,0,0,1,1,.18698999,.51203001,.69902003,129950.7,47686.746,.54969096,.18698992,.73668087,,47457.125,
77709,2012,austria,0,,0,Life,21831.986,19758.398,.033847217,.0037799999,.23424,.22982813,.003848437,.0027379009,.015969444,.21763399,.003012483,.22075361,284.16095,30.046062,269.94089,35.788132,.001427994,.012673974,.10022078,.001714629,.10324172,.1557769,-.26739544,-.26025879,5622203.5,1.13819,1.00793,94992.664,6.1452398,52.000031,6.5659909,52.001549,.35451001,.016744845,58.719872,.0059400001,.93591934,.99997079,5622699.5,.99114215,1.00802,623720.94,583752.5,5672949.5,5577957,33676.242,4939765.5,4939621.5,1724.7622,1,0,0,0,1,1,.19937,1.63188,1.8312501,952614.06,124351.24,.34489349,.15853108,.50342458,,92542.922,
88601,2011,austria,0,,0,Life,-125721.1,-125516.35,-14.154925,-.033070002,-2.0324161,-2.0357316,-.033123948,.00090247899,-.067036122,-.30522186,.0029491291,-.13083521,13.338507,.62596172,18.550795,1.3011799,.027659019,11.165386,1.1895039,.022957295,1.0984403,-.049710158,-.15702008,-.15702008,3147776.5,.88033998,.84306997,61757.207,.14358,57.898499,.14358367,57.898499,2.8400199,.016271275,60.458,.046209998,1,1,3609298.5,.95094788,.96667999,8867.3271,8867.3271,3795474.5,3733717.3,175391.67,3575650.3,3575650.3,2447.1177,1,0,0,0,1,1,19.89679,17.014351,36.91114,150871.81,176431.34,,1.0894656,,,9660.6484,
84928,2007,austria,0,,0,Life,3809.7446,1978.4218,.0070000002,.001,.035,.058767658,.001495257,.0038000001,.026799999,.11,.0050082272,.15123069,209.50972,59.026932,196.14221,55.184334,.001923538,.013989282,.047639269,.002347762,.063854493,.97743773,.9339475,.92023587,2431073.3,1.028,.97900003,64827.234,4.4516897,36.480591,4.5203428,36.696293,.15721083,.025443543,38.302704,.0040000002,.98481238,.99412191,2490864.8,.97762036,1.003,293041.31,288590.72,2547885.5,2483058.3,10191.543,2378919.3,2364935.8,866.8385,2,0,0,0,1,1,.17,1.184,1.354,341691.41,49817.023,.39300001,.38599998,.77900004,-.25299999,111396.01,
86995,2012,austria,0,,0,Life,36282.379,25508.625,.050000001,.0041399999,.16869999,.21939151,.0057006371,.0035959999,.0374,.173206,.0049449159,.23174776,712.54822,127.76866,388.83649,64.124001,.00056998199,.0098132584,.02305495,.001195106,.057457294,.041073672,-.047000147,-.046222899,5858915.5,1.13141,.94510001,165377.31,3.11516,31.31274,3.4106164,34.032398,.15363,.025983851,37.485439,.0039900001,.91337222,.92008609,5865840.5,.92163259,.94621998,564038.56,515177.19,6364619,6199242,25407.508,5628187,5178416.5,1400.755,1,0,0,0,1,1,.17905,1.44394,1.62299,743885,100991.1,.88818419,.13932826,1.0275124,,71778.742,
77709,2006,austria,0,,1,Life,6161.9238,5000.3555,.0099999998,.002402856,.184,.22674268,.002961033,.0022354971,.010254835,.13230339,.002354498,.13804288,1110.0927,77.695869,510.97763,59.582554,.00036429599,.001251923,.038110137,.00090407301,.061960131,.45627165,.3525033,.28586364,2044601.9,1.363,.99599999,27175.844,16.391323,55.193989,19.781918,55.198963,1.3017842,.013059,75.575539,.017000001,.82860136,.99990994,2044846.5,.98262459,.99599999,537590.31,445448.03,2081004.9,2053829,35377.086,1500078.4,1499943.3,1955.051,1,0,0,0,1,1,.20899999,.97000003,1.179,432084.59,112356.37,,,,,,
86995,2007,austria,0,,0,Life,46134.285,42079.375,.063000001,.0070000002,.40799999,.44523433,.0071531269,.0046000001,.0436,.24138249,.0066403071,.33179423,225.14711,25.444113,180.71692,29.921556,.00181659,.014223221,.1251763,.002579466,.13068286,.14660296,.12117992,.13877933,5169274,1.006,.815,103617.98,6.4110532,49.614006,7.090394,55.056137,1.182623,.016065981,61.243305,.018999999,.90418857,.90115303,5687800.5,.88189417,.89599997,734692.31,664300.44,6449527,6345908,122541.01,5704806,5140903,2122.1399,1,0,0,0,1,1,.16600001,1.1799999,1.346,783874.5,121958.93,,,,,,
88601,2010,austria,0,,0,Life,106735.49,138512.22,13.167781,.034679919,.68961,.53140336,.026723839,.0094199805,3.5469451,.20713216,.0098143183,.28012502,25.931173,10.692098,40.537514,13.040306,.016839961,6.414072,.3242217,.011982082,.30646545,.012323027,-.22077651,-.22077651,3276676.8,.90424001,.86383998,200855.88,.052370001,18.041149,.05237101,18.041149,.69442999,.05028918,18.884991,.03492,1,1,3832585.3,.95958143,1.01039,10519.025,10519.025,3994017.8,3793161.8,139480.11,3623671.5,3623671.5,2567.1106,1,0,0,0,1,1,16.760611,22.085279,38.84589,232315.61,176305.28,,.84602833,,,8899.3936,
86995,2008,austria,0,,0,Life,25299.387,18856.609,.025999999,.003,.18000001,.22238299,.0040642768,.0048000002,.044,.26098251,.0068303361,.35493082,273.05096,29.900488,203.87219,44.932182,.00148324,.013546218,.098894708,.002271346,.082065523,-.034841005,.092035726,.064635903,5144053,1.0369999,.84199995,113764.94,6.3766556,43.586941,6.8754029,48.246998,.87546402,.018276023,53.716499,.016000001,.92745918,.90341246,5516875,.8862707,.90300006,782179.81,725439.81,6224819,6111054,99597.109,5488817,4958665.5,2327.3577,1,0,0,0,1,1,.171,1.025,1.196,743575.81,133752.75,,,,,,
77709,2010,austria,0,,0,Life,21348.527,17381.002,.016000001,.0038900001,.35484001,.34826344,.004426104,.0020260031,.0080000004,.18296801,.00224031,.18984114,349.75873,31.427412,323.41925,38.371227,.001160486,.00509902,.099653132,.001432896,.099378198,.15179832,.005858006,-.000089977897,4746729.5,1.16151,.99678999,61299.938,17.910509,66.666931,18.423233,66.67263,1.22393,.012709069,77.683968,.01555,.97216988,.99991459,4747293,.98423707,.99690998,1129343,1097913.3,4823322.5,4762022.5,75026.75,4087027.8,4086678.8,2652.0742,1,0,0,0,1,1,.16128001,1.0351501,1.1964301,1136505,182140.45,.15514779,.14165357,.29680136,,155523.33,
84949,2009,austria,0,,0,Life,2079.4922,1575.3729,.088,.0049999999,.054000001,.070201561,.0068163509,.0055,.096000001,.065250002,.0066797291,.077352747,315.26089,217.82297,374.69208,322.74304,.001290994,.029586034,.012996793,.0012431981,.010953611,-.027647352,.073611259,.076016776,287541.78,1.0669999,1.044,29621.736,.60368025,9.095623,.68930495,9.095623,.33218104,.097096853,9.298995,.032000002,.87578118,1,293933.09,.96348095,1.0669999,20418.408,17882.059,305074.09,275452.38,9839.7783,269428.13,269428.13,70.917534,1,0,0,0,1,0,.25100002,1.3280001,1.5790001,23747.375,5125.021,1.9960098,.22746894,2.2234788,,4067.6125,
88601,2012,austria,0,,0,Life,162575.7,170704.19,15.548691,.040989999,.77062541,.73393029,.039038163,.010899979,3.7181365,-.11706552,.010474632,.011110839,12.965227,2.7060559,17.818254,3.5974712,.034167547,13.666415,1.3109949,.027951006,1.1671894,.097236328,.23810539,.23810539,3596673,.95361,.91215998,221513.83,.049559999,17.026739,.049562078,17.026739,.54803997,.053190563,17.800329,.02915,1,1,4034855,.96886146,1.02329,10978.686,10978.686,4164532.5,3943018.8,121399.21,3771657.8,3771657.8,3072.6018,1,0,0,0,1,1,20.17794,19.68095,39.858891,216070.97,221527.27,,.93184334,,,10230.415,
86995,2010,austria,0,,0,Life,40681.102,24749.471,.045000002,.00388,.19191,.31434697,.0065093949,.0043759998,.041000001,.243582,.0057785031,.32092717,266.07907,31.02202,368.00403,41.291279,.001525411,.014124447,.095703304,.001264957,.091528937,-.056802768,-.21757573,-.20975456,5611192,1.1102,.91683,129414.64,4.2347498,39.054321,4.6433764,42.750561,.3599,.020707674,47.291271,.0074499999,.91199714,.91353929,5683707.5,.90945178,.92868,600920.81,548038.13,6249597.5,6120183,46575.879,5532548,5054200.5,1397.5129,1,0,0,0,1,1,.15972,1.26614,1.4258599,693893,95979.078,.84208852,.11841676,.96050525,,64896.895,
84949,2010,austria,0,,0,Life,1416.4629,1083.0934,.075999998,.0038099999,.038229998,.051375192,.0052581262,.0051620002,.092,.059845999,.006395408,.072157234,300.70563,170.47806,371.30594,234.44955,.001349526,.027138535,.016513739,.001250339,.014998429,-.11698336,-.20332536,-.194866,254282.3,1.0849299,1.05156,27570.951,.51670998,8.5008802,.59626365,8.5011902,.32076001,.10234757,8.7706299,.03283,.86657959,.99996334,259630.52,.96378797,1.07368,16439.555,14246.183,269385.5,241814.55,8843.5938,234385.98,234377.41,69.357399,1,0,0,0,1,0,.28975001,1.28442,1.57417,18298.082,4763.3613,1.9342235,.26955912,2.2037826,,3840.1885,
86995,2009,austria,0,,0,Life,32397.543,23339.148,.033,.0040000002,.19,.24761893,.004889478,.0046000001,.041200001,.26578251,.005740392,.33462,267.7085,31.708467,374.08722,38.940739,.001516575,.014202113,.093571223,.0012400571,.09534023,.064443961,-.034467109,-.027815616,5776832.5,1.087,.889,130836.3,5.3535299,40.608349,5.8120189,44.710876,.27909356,.019745981,49.643219,.0060000001,.92111361,.90824318,5996724.5,.90503329,.92300004,760423,700436,6625971,6495134.5,36515.566,5849805,5313046,1399.4741,1,0,0,0,1,1,.133,1.2130001,1.3460001,849628.94,101136.26,.78386647,.095037058,.87890351,,66567.375,
83880,2012,austria,0,,0,Life,29743.436,22278.252,.092256673,.01305,.54190999,.73355728,.01651803,.0096364366,.061808661,.40292382,.01153655,.48706794,155.15576,30.391253,116.67036,22.633379,.0026750539,.023587244,.10920609,.00407574,.18550289,.088920459,-.048519026,-.048432093,1769389.9,1.0222,1.00527,40546.848,5.9556098,42.69046,5.9849706,42.69326,.65249002,.022517709,43.409489,.01469,.99509424,.99993461,1769389.9,.98263144,1.00527,242671.69,241481.2,1800664.9,1760118.1,26456.436,1731077.1,1730963.9,451.90259,1,0,0,0,1,1,.13426,1.43853,1.5727899,347377.94,32581.1,.81019986,.1342646,.94446445,,32422.379,
86995,2011,austria,0,,0,Life,21768.949,17994.582,.033,.00296,.13541999,.15499841,.003560791,.0041680001,.039999999,.221066,.005235414,.27691633,244.70247,27.223295,298.64011,32.89949,.0016549079,.014560221,.10698264,.00154889,.11003204,-.021774683,-.013600104,-.0158877,5575141.5,1.1366301,.93338001,140446.28,3.84905,34.92424,4.2106743,38.186111,.25474,.022973085,42.529202,.0058499998,.91411722,.91457951,5589142.5,.91422743,.93572003,591373.56,540584.75,6113514.5,5973068,35777.973,5363097.5,4904979,1372.5078,1,0,0,0,1,1,.16733,1.04749,1.21482,566257.13,98954.539,.82116246,.12348239,.94464487,,66752.695,
86995,2005,austria,0,,0,Life,30381.725,24040.59,.046,.0049999999,.3029125,.3828111,.0063188388,.0032500001,.031999998,.14797813,.0055381549,.23011126,197.42401,26.630621,128.22629,24.379433,.0020615531,.017568912,.11565305,.0036288879,.15783021,-.1037588,-.13045211,-.13461536,3417966,.91900003,.72300005,79364.797,5.9787188,46.848289,6.6292219,52.686394,1.3328151,.016506415,59.582504,.022,.90187335,.88919145,4149452.3,.86300963,.87699997,526126.88,474499.78,4808118,4728753.5,105778.6,4181445,3718105,1565.4781,1,0,0,0,1,1,.171,1.242,1.413,589328.75,89967.695,,,,,,
77709,2008,austria,0,,0,Life,3807.999,4004.4905,.0040000002,.001316573,.122,.11601374,.001251971,.001840678,.0072548352,.14524999,.001840923,.14678141,767.64954,107.97064,602.12921,64.859566,.00052539201,.002757896,.026849892,.00076437398,.055211809,.046780638,.19769071,.1609195,2997636.5,1.3019999,.99599999,32823.691,26.980446,70.158485,29.293686,70.161621,1.2973078,.010791578,91.664848,.014,.92103279,.99995542,2998249.5,.98574668,.99699998,961526.94,885597.81,3041602.5,3008778.8,42582.434,2302963.3,2302860.5,2927.9248,1,0,0,0,1,1,.175,.414,.58899999,366637.5,168267.22,,,,,,
77709,2011,austria,0,,0,Life,21976.078,17543.77,.022,.0036599999,.26008999,.29090351,.00447729,.002277432,.0104,.198186,.0025435621,.2026733,294.32083,28.790564,264.97836,34.454693,.001378292,.0081731267,.10548908,.001749114,.10900993,.017626958,-.27424321,-.25340575,4873925.5,1.15841,1.00851,75544.219,10.5477,55.694809,11.161159,55.6982,.43586001,.015390981,63.973122,.0067099999,.94503665,.9999392,4874423.5,.99308944,1.00861,843161,796818,4908343,4832799,32926.891,4207676.5,4207421,2708.8467,1,0,0,0,1,1,.23163,.68966001,.92129004,549533.5,195301.38,.25787085,.20252369,.46039456,,161374.53,
84928,2008,austria,0,,0,Life,-72227.148,-72719.859,-.22600001,-.035999998,-2.233813,-2.218678,-.029241819,-.0040000002,-.022400003,-.3559626,-.001606231,-.31540307,20.349041,.51692629,27.52696,1.1695092,.017986106,.11460934,1.0508016,.015612265,1.0656796,-.030570643,.11360671,.10964324,2320148.5,1.0040001,.95199996,32554.139,9.8720646,70.962364,9.9886322,71.327103,.53111416,.01317984,74.873459,.0070000002,.98833001,.99488646,2414087,.97736508,.99000001,325171.31,321376.56,2469995,2437440.8,17289.965,2321992.3,2310118.8,724.24017,2,0,0,0,1,1,.12800001,.89300001,1.021,286989.28,41621.93,,,,,,
84928,2006,austria,0,,0,Life,9422.8857,6569.6899,.044,.0060000001,.15800001,.21503204,.00731319,.0038000001,.0266,.1114,.0052084201,.15869403,212.1091,65.354675,234.50327,71.749039,.001923538,.014345731,.044908799,.001988515,.05129033,.19943351,-.037505224,-.034893405,1188023.4,1.0009999,.954,43820.844,3.4053121,27.082764,3.4825194,27.383778,.088209957,.034009766,28.403318,.003,.97783005,.98900759,1253497.8,.97285134,1.007,152606.94,149223.66,1288478.3,1244657.4,3865.4348,1199980.3,1186789.6,358.48294,3,0,0,0,1,1,.13500001,1.186,1.321,176979.25,20601.938,.88499999,.61500001,1.5,.96199995,91772.547,.53799999
77709,2009,austria,0,,0,Life,4433.0991,4367.4297,.0040000002,.001042932,.117,.11875922,.001058614,.001560004,.0060000001,.14,.001693861,.15023555,683.28625,94.762238,532.33807,68.833359,.00058986002,.0028284269,.030539593,.000864223,.052064277,.37678903,.23252238,.17463648,4142891.8,1.2030001,.99800003,37328.461,29.240938,92.267273,30.256933,92.272377,1.1593163,.0089139501,111.18371,.0099999998,.96642113,.99994463,4143512.5,.98946124,.99800003,1129444.6,1091519.1,4187645,4150316.8,43275.492,3444385.8,3444195,2422.449,1,0,0,0,1,1,.155,1.095,1.25,1195213.5,175063.92,.083205149,.13432218,.21752733,,146615.23,
83880,2010,austria,0,,0,Life,19189.496,16576.908,.06116857,.0099499999,.42429,.4638744,.010950663,,,,,,,,,,,,,,,.090641961,-.11233462,-.11259074,1737899.9,1.03161,1.01573,41367.871,6.5510702,40.723412,6.5821605,40.7258,.1472,.023606958,41.36039,.0034700001,.99527609,.99994135,1737899.9,.99174863,1.01573,272289.97,271003.69,1752359.3,1710991.4,6089.3599,1684739.6,1684640.8,714.47949,1,0,0,0,1,1,.18020999,1.52943,1.70964,414481.19,49069.375,.49126837,.18021129,.67147964,,48837.926,
84949,2007,austria,0,,0,Life,2510.9421,2168.8518,.109,.0060000001,.075999998,.08623796,.0070552281,.0049999999,.071500003,.065750003,.0064809402,.085792989,353.33838,162.14853,276.54788,151.15088,.0011546999,.026851442,.01759498,.00168526,.023494655,.055129632,-.13159376,-.10878722,335136.66,1.0419999,1.026,29116.438,.6810919,11.049307,.76545,11.049307,.36669812,.08181116,11.223271,.029999999,.8897928,1,343172.34,.96424323,1.05,22287.178,19830.969,355898.09,326781.66,10676.943,321716.47,321716.47,119.44451,1,0,0,0,1,0,.308,1.3200001,1.628,26176.879,6864.4507,,,,,,
84949,2008,austria,0,,0,Life,2477.906,2128.8118,.12800001,.0070000002,.077,.087171122,.0078977486,.0052499999,.085749999,.063749999,.006305194,.077924967,272.66669,191.15372,332.63443,338.104,.0015,.038913369,.014930393,.0014036359,.010506148,-.1184319,-.16010204,-.14857233,295333.69,1.0569999,1.035,28425.768,.58594692,9.8322258,.66756052,9.834713,.34216139,.09060052,10.037464,.030999999,.87774348,.9997471,302162,.96307105,1.059,18975.92,16655.99,313748.41,285322.63,9726.2002,279559.28,279488.56,90.141731,1,0,0,0,1,0,.273,1.3099999,1.5829999,21819.346,5180.4263,,,,,,
86995,2006,austria,0,,0,Life,35303.199,22445.76,.037999999,.0040000002,.248,.3750526,.0062762359,.0034,.033199999,.1679825,.0056857709,.25909951,223.49565,27.576918,147.2395,25.384439,.00181659,.015449919,.10969319,.0031599959,.15127584,.16987562,.2486859,.22623987,4269120.5,.95699996,.77199996,94128.664,6.2945886,47.368382,6.8539991,52.749413,1.5536968,.016734282,58.757568,.025999999,.91838193,.8979888,4844901,.86133105,.87599999,645157.75,592501.19,5624900,5530771.5,146247.39,4965231.5,4458722.5,2076.8162,1,0,0,0,1,1,.185,1.281,1.4660001,758994.06,119354.19,,,,,,
84949,2011,austria,0,,0,Life,865.07208,782.49084,.071999997,.0031000001,.029549999,.032943238,.003555313,.0049820002,.094599999,.054956,.0061165532,.065585814,255.89473,130.32854,268.85104,149.79347,.0015830731,.023575414,.021534424,.001720489,.023351774,-.096766122,-.2413891,-.22303171,229287.42,1.08637,1.05634,26259.473,.41156,8.0374298,.48641542,8.0385599,.31463999,.1079224,8.2659197,.03396,.84610492,.99985892,233932.27,.96142566,1.07774,12773.013,10807.31,243318.11,217058.63,8262.1826,211088.41,211058.64,61.406387,1,0,0,0,1,0,.34661001,1.31104,1.65765,14168.815,4427.2539,2.2450907,.3230615,2.5681522,,3491.4253,
77709,2007,austria,1,In Runoff,1,Life,4369.6323,4293.583,.0060000001,.001477655,.13699999,.13942657,.001503828,.001952084,.0092548355,.14025,.001907107,.13972561,978.63837,86.651131,652.65918,58.269539,.00041228501,.0024993741,.033629104,.00070558098,.061857816,.39628372,.65994924,.5406639,2861678,1.3150001,.99599999,31340.023,23.59351,69.416718,26.42774,69.421951,1.3907168,.010785805,91.714455,.015,.89275545,.99992454,2862421.5,.98511475,.99599999,828246,739421.13,2905673.3,2874333.3,43585.098,2175685.8,2175521.5,2637.3687,1,0,0,0,1,1,.183,.79400003,.977,587100.38,151569.02,,,,,,
89510,2006,belgium,0,,0,Life,1934.2734,1934.2734,.035999998,.003,.079000004,.075589105,.003125662,-.0087499991,-.081000008,-.24800001,-.005904621,-.19855881,28.338314,7.7196894,40.26482,10.413245,.014291605,.1346056,.36996308,.011477157,.34000823,.26418209,.12694229,.12899733,491961.13,1.2640001,.829,25589.314,2.0764585,15.205948,2.6537178,18.958317,.2176505,.041350696,23.18339,.0089999996,.78247148,.8020727,508031.31,.8209461,.85600001,67906.813,53135.148,618836.38,593247.06,5569.5269,485130.31,389109.78,51.631115,2,1,0,0,1,0,.044,1.207,1.251,64134.125,2987.8997,,,,,,
89528,2010,belgium,0,,0,Life,3612.7969,3601.3728,.027000001,.00244,.066339999,.068941087,.0025164741,.002732595,.02972733,.074267998,.0040129181,.1076546,148.56702,38.373341,118.66676,34.525208,.0027222731,.029491147,.074096754,.003889181,.10235829,-.012625209,.12527859,.12287167,1306800,.97109997,.94472998,52404.117,2.5364299,25.67914,2.6233582,25.755409,.41244999,.036501803,26.39591,.01506,.96686476,.99703854,1389458.8,.96781993,1.00449,137474.77,132919.52,1435658.3,1383254.3,21613.949,1349689.5,1345692.5,36.309967,2,0,0,0,1,0,.01726,1.3545001,1.37176,180039.48,2372.8145,.60792631,.0060269441,.61395323,,801.09839,
89525,2010,belgium,0,,0,Life,4436.7427,3030.1797,.075999998,.02098,.22739001,.30419031,.032912437,.014462151,.086399995,.25167799,.02140259,.35776079,63.64587,67.213249,47.495201,49.0228,.0066458359,.014976648,.044699371,.010357098,.076886475,-.1702228,-.022193743,-.021932887,130854.64,1.24382,1.08847,14585.417,2.7444699,7.2129402,2.7994909,7.2239099,.1778,.10819686,8.2424097,.019239999,.98034549,.99848211,130854.64,.97069973,1.08847,40831.742,40029.215,134804.44,120219.02,2593.217,105363.72,105203.79,449.47574,2,0,0,0,1,1,.71935999,.33023,1.04959,13218.848,29372.723,.74293667,.71850032,1.461437,,28761.004,
89528,2006,belgium,0,,0,Life,5636.5571,5213.874,.053000003,.0049999999,.13500001,.13647833,.0049613169,.005243903,.049799997,.175,.00509746,.19898407,93.032776,21.007618,154.73283,29.549614,.004374803,.044829678,.13861638,.0029984671,.12187903,-.018687651,.19689104,.19239818,978761.06,.90300006,.89399999,41300.016,2.3791568,26.254927,2.49596,26.254927,1.0728312,.036352411,26.508492,.039000001,.95320308,1,1074781.6,.94602638,.98199999,103083.2,98259.219,1136101.1,1094801.1,44307.945,1084328.9,1084328.9,14.250279,2,0,0,0,1,0,.0080000004,1.398,1.406,137366.39,824.66559,,,,,,
