country,numberofobservations,numberoffailureevents,failurerate
austria,214,1,.004672897
belgium,437,11,.025171624
croatia,120,1,.0083333338
czech republic,147,5,.034013607
denmark,775,32,.041290324
finland,236,5,.021186441
france,1213,12,.0098928278
germany,3181,13,.004086765
ireland,741,103,.13900135
italy,845,16,.018934911
netherlands,924,21,.022727273
portugal,224,1,.0044642859
slovakia,84,8,.095238097
spain,1616,17,.010519802
sweden,574,4,.0069686412
switzerland,785,13,.01656051
united kingdom,1716,267,.15559441
total,13832,530,.038316946
