="",="mean",="min",="p50",="max",="sd"
="profitorlossbeforetax",="47044.9",="-13609832",="4555.2",="13207987",="376068.0"
="profitorlossaftertax",="38871.6",="-13410838",="3464.9",="13289487",="366506.7"
="rop",="0.60",="-22.3",="0.054",="135.5",="7.49"
="roa",="0.020",="-0.40",="0.012",="0.37",="0.058"
="roe",="0.078",="-2.78",="0.083",="1.44",="0.24"
="roebeforetax",="0.10",="-3.46",="0.11",="1.62",="0.28"
="roabeforetax",="0.026",="-0.46",="0.015",="0.40",="0.065"
="movingaverageofroa",="0.020",="-0.39",="0.012",="0.33",="0.043"
="movingaverageofrop",="0.43",="-19.4",="0.053",="135.5",="4.80"
="movingaverageofroe",="0.081",="-2.38",="0.080",="1.17",="0.17"
="movingaverageofroabeforetax",="0.026",="-0.42",="0.015",="0.40",="0.051"
="movingaverageofroebeforetax",="0.10",="-2.73",="0.10",="1.32",="0.20"
="riskedadjustedroa",="190.9",="0.0017",="27.6",="49835.9",="1261.3"
="riskedadjustedroe",="85.2",="0.00036",="38.7",="27684.1",="539.6"
="riskedadjustedroabeforetax",="150.0",="0.0039",="27.8",="60757.6",="1091.2"
="riskedadjustedroebeforetax",="160.4",="0.00042",="41.2",="356608.7",="4658.6"
="grosspremiumswritten",="609158.9",="1.09",="98156.7",="41126032",="1749397.3"
="netpremiumswritten",="542076.6",="1.09",="77891.3",="41126032",="1622226.8"
="totalassets",="4402153.9",="286.4",="369125.6",="385699904",="16379920.1"
="totalliabilities",="3985989.5",="22.7",="275862.3",="373496576",="15429898.8"
="totaldebtors",="170524.7",="0.067",="15020.2",="16680624",="681116.0"
="grosstechnicalreserves",="3617682.2",="0.86",="227940.0",="348554912",="14305971.8"
="nettechnicalreserves",="3384515.1",="0.86",="177455.4",="338931872",="13555291.8"
="numberofemployees",="1925.1",="0.0021",="228.7",="2349352.5",="20999.5"
="capitalsurplus",="416164.4",="55.4",="54849.2",="71610544",="2203196.6"
="netpremiumswrittencapitalsurplus",="2.45",="0.000019",="1.38",="460.2",="5.91"
="nettechnicalreservescapitalsurpl",="11.5",="0.0000011",="2.54",="3116.1",="38.9"
="grosspremiumswrittencapitalsurpl",="2.83",="0.000032",="1.73",="462.6",="6.28"
="grosstechnicalreservescapitalsur",="12.4",="0.0000011",="3.26",="3116.1",="39.6"
="totaldebtorscapitalsurplus",="0.55",="0.0000015",="0.26",="33.0",="1.05"
="capitalsurplustotalassets",="0.27",="0.00032",="0.20",="1.00",="0.24"
="leverageratio",="13.5",="0.0017",="3.91",="3125.6",="40.9"
="totaldebtorstotalassets",="0.083",="0.00000020",="0.044",="0.99",="0.11"
="totalinvestments",="3875896.1",="132.6",="267831.4",="359836576",="14749708.1"
="investmentasset",="0.80",="0.0040",="0.86",="1.00",="0.19"
="totalinvestmenttotalliabilities",="1.95",="0.0050",="1.02",="577.4",="9.34"
="movingstandarddeviationofroa",="0.027",="0",="0.015",="0.38",="0.034"
="movingstandarddeviationofrop",="0.63",="0",="0.060",="91.1",="4.42"
="movingstandarddeviationofroe",="0.13",="0",="0.074",="1.94",="0.17"
="movingstandarddeviationofroabefo",="0.030",="0",="0.018",="0.36",="0.036"
="movingstandarddeviationofroebefo",="0.15",="0",="0.087",="2.33",="0.19"
="liquidassets",="3050910.1",="5.57",="207142.9",="347746656",="11963283.5"
="liquidassetsnettechnicalreserves",="22.5",="0.0000062",="1.13",="81900",="878.2"
="liquidassetstotalliabilities",="1.49",="0.0000061",="0.89",="294.9",="5.12"
="mutual",="0.20",="0",="0",="1",="0.40"
="composite",="0.086",="0",="0",="1",="0.28"
="life",="0.33",="0",="0",="1",="0.47"
="affiliated",="0.66",="0",="1",="1",="0.47"
="changeinasset",="0.095",="-0.78",="0.042",="5.57",="0.37"
="changeinnetpremium",="0.16",="-0.94",="0.015",="22.5",="1.23"
="changeingrosspremium",="0.15",="-0.93",="0.013",="22.3",="1.21"
="premiumretainratio",="0.84",="0.000052",="0.94",="1.00",="0.22"
="nettechnicalreservesgrosstechnic",="0.86",="0.0044",="0.98",="1",="0.21"
="numberoflinesofbusiness",="3.29",="1",="2",="25",="3.65"
="numberofpremiumregions",="0.35",="0",="0",="7",="0.62"
