="",="mean",="min",="p50",="max",="sd"
="1Y",="2.26",="-0.27",="2.04",="12.8",="1.86"
="2Y",="2.53",="-0.29",="2.55",="14.5",="1.88"
="3Y",="2.78",="-0.23",="2.81",="16.2",="1.95"
="4Y",="2.97",="-0.085",="2.95",="13.8",="1.78"
="5Y",="3.17",="0.067",="3.09",="15.0",="1.77"
="6Y",="3.35",="0.17",="3.22",="15.6",="1.78"
="7Y",="3.50",="0.28",="3.40",="15.4",="1.76"
="8Y",="3.63",="0.34",="3.55",="15.2",="1.74"
="9Y",="3.75",="0.45",="3.67",="14.7",="1.74"
="10Y",="3.84",="0.50",="3.78",="12.8",="1.68"
